row_type,step,group,term,raw,reference,fulfillment,discounted_sum,fpl_score
perstep,7,posture,left_knee_joint,0.172503,0.000000,0.940099,,
perstep,7,posture,left_ankle_pitch_joint,-0.007989,0.000000,0.990846,,
perstep,7,posture,left_ankle_roll_joint,-0.006601,0.000000,0.974786,,
perstep,7,posture,right_hip_pitch_joint,0.003365,0.000000,0.998831,,
perstep,7,posture,right_hip_roll_joint,0.010223,0.000000,0.996554,,
perstep,7,posture,right_hip_yaw_joint,0.027134,0.000000,0.990160,,
perstep,7,posture,right_knee_joint,0.179122,0.000000,0.937800,,
perstep,7,posture,right_ankle_pitch_joint,0.010019,0.000000,0.988519,,
perstep,7,posture,right_ankle_roll_joint,-0.007579,0.000000,0.971049,,
perstep,7,posture,waist_yaw_joint,0.038341,0.000000,0.985355,,
perstep,7,posture,waist_roll_joint,0.017963,0.000000,0.965455,,
perstep,7,posture,waist_pitch_joint,-0.050071,0.000000,0.903710,,
perstep,7,posture,left_shoulder_pitch_joint,0.137110,0.200000,0.980880,,
perstep,7,posture,left_shoulder_roll_joint,0.041616,0.200000,0.922796,,
perstep,7,posture,left_shoulder_yaw_joint,-0.049291,0.000000,0.981172,,
perstep,7,posture,left_elbow_joint,0.941280,1.280000,0.854452,,
perstep,7,posture,left_wrist_roll_joint,0.002461,0.000000,0.998752,,
perstep,7,posture,left_wrist_pitch_joint,-0.011889,0.000000,0.992636,,
perstep,7,posture,left_wrist_yaw_joint,0.018279,0.000000,0.988678,,
perstep,7,posture,right_shoulder_pitch_joint,0.102577,0.200000,0.970381,,
perstep,7,posture,right_shoulder_roll_joint,-0.005419,-0.200000,0.905152,,
perstep,7,posture,right_shoulder_yaw_joint,0.049795,0.000000,0.980980,,
perstep,7,posture,right_elbow_joint,0.940059,1.280000,0.853927,,
perstep,7,posture,right_wrist_roll_joint,0.018204,0.000000,0.990770,,
perstep,7,posture,right_wrist_pitch_joint,0.000436,0.000000,0.999730,,
perstep,7,posture,right_wrist_yaw_joint,0.002238,0.000000,0.998614,,
perstep,8,orientation,orientation_rz,0.984100,1.000000,1.000000,,
perstep,8,height,torso_height,0.973894,0.900000,0.917896,,
perstep,8,posture,left_hip_pitch_joint,0.044549,0.000000,0.984531,,
perstep,8,posture,left_hip_roll_joint,-0.003148,0.000000,0.998939,,
perstep,8,posture,left_hip_yaw_joint,-0.030656,0.000000,0.988883,,
perstep,8,posture,left_knee_joint,0.178846,0.000000,0.937896,,
perstep,8,posture,left_ankle_pitch_joint,-0.020989,0.000000,0.975948,,
perstep,8,posture,left_ankle_roll_joint,-0.003394,0.000000,0.987036,,
perstep,8,posture,right_hip_pitch_joint,0.004172,0.000000,0.998551,,
perstep,8,posture,right_hip_roll_joint,-0.009060,0.000000,0.996946,,
perstep,8,posture,right_hip_yaw_joint,0.019316,0.000000,0.992995,,
perstep,8,posture,right_knee_joint,0.181573,0.000000,0.936949,,
perstep,8,posture,right_ankle_pitch_joint,-0.017210,0.000000,0.980279,,
perstep,8,posture,right_ankle_roll_joint,-0.005801,0.000000,0.977840,,
perstep,8,posture,waist_yaw_joint,0.042565,0.000000,0.983741,,
perstep,8,posture,waist_roll_joint,0.010933,0.000000,0.978974,,
perstep,8,posture,waist_pitch_joint,-0.032970,0.000000,0.936597,,
perstep,8,posture,left_shoulder_pitch_joint,0.134578,0.200000,0.980110,,
perstep,8,posture,left_shoulder_roll_joint,0.042859,0.200000,0.923402,,
perstep,8,posture,left_shoulder_yaw_joint,-0.041492,0.000000,0.984151,,
perstep,8,posture,left_elbow_joint,0.854506,1.280000,0.817165,,
perstep,8,posture,left_wrist_roll_joint,-0.006989,0.000000,0.996456,,
perstep,8,posture,left_wrist_pitch_joint,-0.007158,0.000000,0.995566,,
perstep,8,posture,left_wrist_yaw_joint,0.014351,0.000000,0.991111,,
perstep,8,posture,right_shoulder_pitch_joint,0.100386,0.200000,0.969715,,
perstep,8,posture,right_shoulder_roll_joint,0.000320,-0.200000,0.902354,,
perstep,8,posture,right_shoulder_yaw_joint,0.041508,0.000000,0.984145,,
perstep,8,posture,right_elbow_joint,0.853238,1.280000,0.816620,,
perstep,8,posture,right_wrist_roll_joint,0.014258,0.000000,0.992771,,
perstep,8,posture,right_wrist_pitch_joint,0.000298,0.000000,0.999815,,
perstep,8,posture,right_wrist_yaw_joint,0.000011,0.000000,0.999993,,
